username,text,likes,pred_label,prob_confuso,prob_não,prob_sim
thaysgomes_21,"Sim… sentimos um aperto no peito, a gente que é mãe e tem seus filhos por perto, nem imaginam a imensidão dessa dor, só de imaginar já dói e muito.",1.0,não,0.016938643530011177,0.9581566452980042,0.024904651567339897
isabella__nardoni,Saudade que nunca passa 💔,,não,0.02357827126979828,0.9550143480300903,0.021407347172498703
michellebolsonaro,😢,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
marciodalanoficial,"A pequena Isabella vive em cada um de nós, o que houve com ela de uma maneira tão covarde nos faz pensar que poderia ter acontecido com qualquer um de nós e todos nós sofremos até hoje com este ato covarde que merece penas mais severas e que sejam cumpridas até o final, sem regalias para assassinos covardes.",23.0,não,0.03008955903351307,0.9188328981399536,0.051077473908662796
twin_towers_wtc_,Era tão linda 💔😢,,não,0.017874203622341156,0.9608720541000366,0.02125382050871849
twin_towers_wtc_,Que lindo ❤️ seria um sonho,,não,0.018134787678718567,0.9589892625808716,0.022875996306538582
mariarodrigues58_,"A issabella é um pouquinha nossa, pois a cada publicação sua dói o coração, pela maneira que ela se foi, você Ana Carolina, és uma guerreira Deus te abençoe 😢💔❤️",,não,0.019352184608578682,0.9562072157859802,0.024440553039312363
rina_nascimento,Hoje o Brasil tbm te abraça 🙌💔❤️,,não,0.02008536271750927,0.9542662501335144,0.025648394599556923
adriana_novais5591,Não é a Isabela é a irmã dela por meio de inteligência artificial🔥,1.0,sim,0.13488757610321045,0.278344064950943,0.5867683291435242
rosanaoliveira2348,Concordo,1.0,não,0.2345365732908249,0.613292396068573,0.1521710455417633
thaysgomes_21,"Sim… sentimos um aperto no peito, a gente que é mãe e tem seus filhos por perto, nem imaginam a imensidão dessa dor, só de imaginar já dói e muito.",,não,0.016938643530011177,0.9581566452980042,0.024904651567339897
michellebolsonaro,😢,23.0,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
mavie_petitefleur,@michellebolsonaro linda! Querida! Te abençoe grandemente!,,não,0.0308980755507946,0.9383199214935303,0.030781997367739677
patricia.3777,"@michellebolsonaro,oi,minha lindaaaaa!!!❤️❤️",,não,0.0387185662984848,0.9316099286079407,0.029671525582671165
lais_liiz,@michellebolsonaro 😭❤️,,não,0.08329131454229355,0.8489865660667419,0.0677221417427063
ticibezerraneves,@michellebolsonaro Vc e a Janja nem devia comentar aqui. Vai politizar e enfraquecer a causa por causa da guerra poltiica,,não,0.20880159735679626,0.5626642107963562,0.22853419184684753
flaviojuniorbiersack,@ticibezerraneves vc e burra ou se faz 🤣,1.0,não,0.12283096462488174,0.8055904507637024,0.07157857716083527
taty_batista2014,@ticibezerraneves nada haver... Sem noção!!!🤡,,confuso,0.5731151103973389,0.2793239653110504,0.14756092429161072
ticibezerraneves,@taty_batista2014 Se for chorar manda áudio gado do INELEGÍVEL.,,não,0.061962809413671494,0.8219876289367676,0.11604960262775421
ticibezerraneves,"Flávio, Se for chorar gado do INELEGÍVEL manda áudio.",,não,0.24020999670028687,0.5631023645401001,0.19668768346309662
eu_sarasantos,@ticibezerraneves só você está politizando.,1.0,não,0.09304593503475189,0.7870335578918457,0.1199205219745636
flaviojuniorbiersack,@ticibezerraneves si vc q estar politizando 😂,,não,0.07098308205604553,0.8667967319488525,0.06222020462155342
marciodalanoficial,"A pequena Isabella vive em cada um de nós, o que houve com ela de uma maneira tão covarde nos faz pensar que poderia ter acontecido com qualquer um de nós e todos nós sofremos até hoje com este ato covarde que merece penas mais severas e que sejam cumpridas até o final, sem regalias para assassinos covardes.",,não,0.03008955903351307,0.9188328981399536,0.051077473908662796
ellenaraujo7826,@marciodalanoficial 🙌😭🥺,183.0,não,0.08527853339910507,0.8295779824256897,0.08514343202114105
mariarodrigues58_,"A issabella é um pouquinha nossa, pois a cada publicação sua dói o coração, pela maneira que ela se foi, você Ana Carolina, és uma guerreira Deus te abençoe 😢💔❤️",31.0,não,0.019352184608578682,0.9562072157859802,0.024440553039312363
adriana_novais5591,Não é a Isabela é a irmã dela por meio de inteligência artificial🔥,,sim,0.13488757610321045,0.278344064950943,0.5867683291435242
caririaldeni,"O que aconteceu com essa garotinha comoveu o Brasil inteiro. Todos nós mesmo sem conhecer vc (Ana Carolina e ela). Tive a oportunidade de conhecer vc agora quando em campanha política, pois vc passou numa loja que temos (eu e minha esposa) na Vila Maria/Avenida Alberto Byington) Desejo a vc todo o sucesso do mundo. Que Deus lhe abençoe.",,não,0.021604400128126144,0.9311338067054749,0.04726168140769005
lanafkl,Essa é Isabela?lindaa,,não,0.2670103907585144,0.6477150917053223,0.08527456223964691
luapellegrino,🥹🥺,1.0,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
osmarina6113,Nois sentimos muito por tudo sinta sim abrasanda por mim Deus abençoe sempre sua família,,não,0.022191137075424194,0.9530778527259827,0.02473105490207672
osmarina6113,💔,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
osmarina6113,😭💔,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
waithsr,🥹💔🥹,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
eternaisabella_,❤,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
ana_anoca,❤️❤️❤️❤️❤️❤️,9.0,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
oliviasantos_29,😢😢💝🥹,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
rosangela_ribeiropbshotmail.co,😍😍😍,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
jonas_cherubini_,☝️☝️,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
jessimribeiro,Emocionante ♥️,161.0,não,0.016078418120741844,0.9521942138671875,0.031727444380521774
caseiroingleses,💔😭😭😭😭,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
draliz_miranda,Um anjo!!!! ❤️,,não,0.035263072699308395,0.9390234351158142,0.02571350522339344
isabella.myprincess__,Ela te ama caroll,,não,0.01713012531399727,0.9509746432304382,0.031895268708467484
mariaconceicaoalbuquerquega,Mds..😭😭😭😭😭,6.0,não,0.07037267833948135,0.8958777785301208,0.033749595284461975
isabella.myprincess__,Saudadess🥹🥹😭😭,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
isabella.myprincess__,Infinito esse amor que temos por ela,,não,0.018475700169801712,0.9568285942077637,0.02469576708972454
anacarolina_isabella,"Saudades eterna, princesa...",1.0,não,0.023177389055490494,0.9537160396575928,0.023106444627046585
arianny.pink,"Que o Senhor continue sempre a te dar forças e te abraçando todos os dias, cuidando do seu coração. Vc é uma mulher admirável, Ana 🥺♥️",,não,0.02661859430372715,0.9426454901695251,0.030735889449715614
elianethomaz.executivaloovi,"Isa, Bella, Isabella 💜💜💜",,não,0.04565607011318207,0.9114368557929993,0.042906999588012695
isabella.myprincess__,Saudades meu amor,,não,0.01954956166446209,0.9585221409797668,0.02192835323512554
aline_veloso_1991,"É uma mistura de dor e saudade 😥 A minha filha não está em outro plano igual a Isabela, mas a dois anos eu não a vejo, não abraço, as vezes que fui atrás fui rejeitada, sigo até hoje sem entender . A sensação que eu tenho em relação a ela é de que estou em um barco, e não consigo remar para sair do lugar, pois eu já fiz de tudo. Agora é só o tempo para por as coisas no lugar. Mas a saudade e a dor que sinto, me acompanha todos os dias.",,não,0.018093587830662727,0.9522846937179565,0.029621725901961327
adacrisck,🤍😇🌸,3.0,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
rejane_wenceslau,Isabela mesmo sorriso da minha filha quando pequena hoje está com 25,,não,0.01744846999645233,0.9477528929710388,0.034798674285411835
fagundess10_,Lindas❤️❤️❤️🕊️🔥,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
lucia.vieira.50,Q dor 😭😭😭,3.0,não,0.024889610707759857,0.9491864442825317,0.025924019515514374
silva.julianafariada,😍❤️,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
mariavieiradesouza54,😢😢😢❤️❤️,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
damanuoficial,🥹🥹🥹,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
cantigas.isa,Aaaa juroo,,não,0.02954673208296299,0.9314822554588318,0.03897092863917351
luanaespindolaofc,😢😢😢😢,1.0,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
droppaamanda,❤️‍🩹❤️‍🩹❤️‍🩹,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
silviasrohrig,😢💔,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
suelitheophilo,😢 do meu filho Bruno que desencarnou em 2.012,45.0,não,0.028073448687791824,0.8683034181594849,0.103623166680336
evidence_liliane,😢,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
evidence_liliane,"Misericórdia, meu coração chega a doer 😭",,não,0.02090037800371647,0.9544146656990051,0.024684999138116837
mercia_lima11,❤️,2.0,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
angelica_cason,Dos meus avôs 😢😢,,não,0.02381155639886856,0.9393190741539001,0.03686927258968353
ana_raquelrodrigues,😢,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
vanusalife,😭😭😭,2.0,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
vanusalife,Dói muito💔,,não,0.02734019048511982,0.9361562728881836,0.03650350123643875
costa_3101,😭😢,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
andreafranca,😢💔,1.0,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
lann_staia9,😭😭,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
fernandahelenaalvesoa,Sensação é chorar muito,,não,0.017201703041791916,0.9581575393676758,0.024640696123242378
fernandahelenaalvesoa,Emocionante não tem como esquecer Isabela,46.0,não,0.017484210431575775,0.9454525113105774,0.03706326708197594
beautestudiodebeleza,"Dói no meu peito, eu que nunca a conheci. Posso imaginar em você ! Força guerreira, um dia estarão juntas novamente ❤️",,não,0.01699787564575672,0.957526683807373,0.025475459173321724
cjosefa351,💔,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
xeirusssefragrancias_,"Todos nós temos um pouquinho da Isabella em nossos corações maternos! A história da menina, que nunca entenderemos seu final... Bella, vive em nós!!!",1.0,não,0.025964733213186264,0.9326330423355103,0.041402194648981094
mada_sobrancelhaecilios,😢,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
rodil.is,Que vontade de abraçar meu filho anjo😭,29.0,não,0.0177907794713974,0.9609247446060181,0.02128436788916588
reginasilvacarvalhoo,Parece real,,confuso,0.7082210779190063,0.04229545593261719,0.2494833916425705
aparecida.assis.1884,💔😭😭😭,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
jamylebarros,😢😢,1.0,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
arielysexshop,😢,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
alinemarquesks,😭😭,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
margarethgeitzenauer,Como é cruel a saudades neh Carolina e uma dor sem fim ela estaria sendo sua companheiro na agora Grande,1.0,não,0.015259959734976292,0.9605928659439087,0.02414718084037304
marlifreeitas,"Eu como mãe sinto muito Carol por tudo que houve com sua princesa, muito lamentável que exista ""pai"" tão sem amor.😔",,não,0.01869484968483448,0.9589700698852539,0.022334996610879898
gabiferraz_silva,😢❤️❤️❤️❤️,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
marcia_tavares.santos,😢,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
luzdivinna_,Um abraço pra sempre! Quem é mãe sabe.😢😭,,não,0.02911049872636795,0.9470062851905823,0.023883244022727013
katiamariasouto,😢,22.0,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
penelopeloveyou2011oficial,Foi realmente uma crueldade fazer isso com uma menina tão doce e linda 😢,,não,0.01745104044675827,0.9558370113372803,0.026711946353316307
tereza.araujo01,Se estivesse viva teria a idade de minha filha hoje!,,não,0.01738019660115242,0.9535868167877197,0.029032962396740913
darci_lobo,Ceifaram sua vida Isabela 😢😢😢,52.0,não,0.017660746350884438,0.9469538927078247,0.03538542613387108
